op,scenario,status,baseline_ms,candidate_ms,speedup,max_error_ratio,mean_abs_diff,failure_reason
dense_attention,long-output/dense_b8_l1024_h24_d128_bf16_noncausal,PASS,0.342105996,0.327748989,1.043805,0.156250015,8.27325857e-05,
dense_attention,long-output/dense_b4_l2048_h24_d128_bf16_noncausal,PASS,0.607646012,0.564474001,1.076482,0.156006247,6.14203382e-05,
dense_attention,long-output/dense_b2_l4096_h24_d128_bf16_noncausal,PASS,1.142472000,1.015903006,1.124588,0.0868055597,4.48534192e-05,
dense_attention,long-output/dense_b8_l512_h16_d64_fp16_noncausal,PASS,0.076445998,0.055417011,1.379468,0.0312989056,1.308842e-05,
dense_attention,long-output/dense_b8_l1024_h16_d64_fp16_noncausal,PASS,0.171678999,0.141173005,1.216089,0.0194969773,1.0192527e-05,
dense_attention,long-output/dense_b4_l2048_h16_d64_fp16_noncausal,PASS,0.277056999,0.235376996,1.177078,0.010850695,7.62224727e-06,
dense_attention,long-output/dense_b16_l512_h16_d64_fp16_causal,PASS,0.096297998,0.094721996,1.016638,0.0457038395,1.17928403e-05,
flash_attn_varlen,long-output/varlen_b64_l512_h16_d64_bf16_noncausal,PASS,0.286711991,0.328693000,0.872279,0.260416687,0.000101414196,
flash_attn_varlen,long-output/varlen_b16_l1024_h16_d64_bf16_noncausal,PASS,0.260713001,0.299800013,0.869623,0.155763239,8.01691058e-05,
flash_attn_varlen,long-output/varlen_b8_l2048_h16_d64_bf16_noncausal,PASS,0.348443005,0.559858003,0.622377,0.151515156,6.05671994e-05,
flash_attn_varlen,long-output/varlen_b4_l4096_h16_d64_bf16_noncausal,PASS,0.620223989,1.042492993,0.594943,0.0868055597,4.45289406e-05,
flash_attn_varlen,long-output/varlen_b64_l512_h16_d64_bf16_causal,PASS,0.250008001,0.354788994,0.704667,0.383141786,9.45888241e-05,
flash_attn_varlen,long-output/varlen_b16_l1024_h16_d64_bf16_causal,PASS,0.209407008,0.344048007,0.608656,0.260416687,9.32565599e-05,
flash_attn_varlen,long-output/varlen_b8_l2048_h16_d64_bf16_causal,PASS,0.236658991,0.643937004,0.367519,0.260416687,8.13501465e-05,
flash_attn_prefill,long-output/fa_prefill_b4_l2048_h4_d72_bf16_noncausal,PASS,0.102756007,0.159793999,0.643053,0.0868055597,6.09346826e-05,
flash_attn_prefill,long-output/fa_prefill_b2_l4096_h4_d72_bf16_noncausal,PASS,0.155935995,0.284567010,0.547976,0.086505197,4.47106904e-05,
flash_attn_prefill,long-output/fa_prefill_b8_l2048_h4_d72_bf16_noncausal,PASS,0.142920995,0.289229007,0.494145,0.0868055597,6.09236813e-05,
flash_attn_prefill,long-output/fa_prefill_b4_l4096_h4_d72_bf16_noncausal,PASS,0.223088005,0.540543013,0.412711,0.0868055597,4.46544327e-05,
