op,passed,total,failed,baseline_ms_sum,candidate_ms_sum,weighted_speedup,status,note
batch_norm2d,1,1,0,0.032096010,0.031023999,1.034554,PASS,
chunk_gla,5,5,0,11.683899997,11.700132993,0.998613,PASS,
chunk_retention,1,1,0,0.222571005,0.213298990,1.043470,PASS,
conv2d,39,39,0,2.661800012,2.140811004,1.243361,PASS,
conv3d,1,1,0,0.175196998,0.051409006,3.407905,PASS,
dense_attention,17,17,0,11.018906007,8.143049985,1.353167,PASS,
diffusion_rope,2,2,0,0.292148994,0.287519011,1.016103,PASS,
embedding,13,13,0,0.287403964,0.410937966,0.699385,PASS,
flash_attn_decode,1,1,0,0.038785001,0.029553994,1.312344,PASS,
flash_attn_prefill,5,5,0,0.351248003,0.504019976,0.696893,PASS,
flash_attn_varlen,1,1,0,0.334587996,0.092610004,3.612871,PASS,
flashinfer_decode,56,56,0,3.477244943,4.903456997,0.709142,PASS,
flashinfer_prefill,18,18,0,19.433857000,27.543901990,0.705559,PASS,
flux_pos_embed,2,2,0,0.540207009,0.491353989,1.099425,PASS,
fp8_linear,14,14,0,1.796013021,1.761299995,1.019709,PASS,
fused_recurrent_gla,5,5,0,0.639758000,0.633648990,1.009641,PASS,
fused_recurrent_retention,1,1,0,0.184157994,0.169984007,1.083384,PASS,
gelu,31,31,0,3.040736992,3.270040019,0.929878,PASS,
gla_recurrence,1,1,0,0.156106005,0.152042994,1.026723,PASS,
interpolate,2,2,0,0.148378997,0.154818001,0.958409,PASS,
l2_norm,1,1,0,0.084741012,0.049165013,1.723604,PASS,
layer_norm,34,34,0,5.642983946,1.517947036,3.717510,PASS,
linear,66,66,0,4.557071952,8.127046938,0.560729,PASS,
log_sigmoid,9,9,0,0.538528009,0.556321989,0.968015,PASS,
max_pool2d,1,1,0,0.064412001,0.041413005,1.555357,PASS,
moe_align,10,10,0,0.307264985,1.086596007,0.282778,PASS,
moe_grouped_gemm,12,12,0,15.376682990,15.433765002,0.996301,PASS,
moe_sum,5,5,0,0.612848002,0.496643988,1.233978,PASS,
mrope,5,5,0,0.504602998,0.327087007,1.542718,PASS,
mrope_input_positions,5,5,0,0.057268000,0.056814999,1.007973,PASS,
mxfp4_moe,5,5,0,13.005475979,12.801036995,1.015971,PASS,
oasis_rotary,1,1,0,0.032805998,0.031578995,1.038855,PASS,
quickgelu,1,1,0,0.025267000,0.024467998,1.032655,PASS,
relu,1,1,0,0.013839992,0.022851993,0.605636,PASS,
rms_norm,35,35,0,1.476966980,1.818435936,0.812218,PASS,
rotary_emb,5,5,0,0.324132008,0.332609998,0.974511,PASS,
sigmoid,1,1,0,0.035313002,0.043704000,0.808004,PASS,
silu,24,24,0,0.319511979,0.544456008,0.586846,PASS,
silu_and_mul,10,10,0,0.639715960,0.743645985,0.860243,PASS,
silu_mul_quant_fp8,1,1,0,0.032581011,0.030900992,1.054368,PASS,
softmax,2,2,0,0.129478998,0.132365996,0.978189,PASS,
store_kvcache,15,15,0,0.343255990,0.338670012,1.013541,PASS,
t5_layer_norm,6,6,0,2.956077005,1.037342008,2.849665,PASS,
tensor_ops,1,1,0,0.021148997,0.025139001,0.841282,PASS,
topk_softmax,5,5,0,0.106241976,0.168597020,0.630153,PASS,
vision_rotary_emb,5,5,0,0.710421999,0.589199000,1.205742,PASS,
yarn_rotary_emb,1,1,0,0.021929998,0.033424003,0.656115,PASS,
allreduce,0,15,0,,,,SKIPPED,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
SUMMARY_NON_ALLREDUCE,483,483,0,104.455672714,109.096140834,0.957464,PASS,allreduce skipped; see allreduce row
