op,scenario,status,classification,baseline_ms,candidate_ms,speedup,max_error_ratio,mean_abs_diff,failure_reason
allreduce,tokens-1/1a3f097c,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-1/a6d82e4f,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-1024/a0b38154,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-1024/b06513da,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-16384/5b22a522,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-16384/6da45785,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-1760/e8d440cd,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-2048/8b803f5a,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-256/be1d244f,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-32/873a036a,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-4/c043faa8,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-4096/eaad12f6,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-512/a46a4be7,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
allreduce,tokens-512/d930a8ac,SKIPPED,distributed_not_run,,,,,,SKIPPED: allreduce requires a working distributed/NCCL process group; singleton NCCL failed in this environment with CUDA driver/runtime mismatch.
