operator,pass,passed,total,avg_speedup,avg_err_ratio,candidate_path
ada_layer_norm,2/2,2,2,1.5973221030931193,0.9159121811389923,tasks/candidate/L2/ada_layer_norm.py
ada_layer_norm_continuous,2/2,2,2,1.5436130294791601,0.14288978278636932,tasks/candidate/L2/ada_layer_norm_continuous.py
attention,15/15,15,15,0.6080697242769305,0.18087464472434173,tasks/candidate/L2/attention.py
attention_impl,20/20,20,20,0.7681737504745542,0.126066424138844,tasks/candidate/L2/attention_impl.py
encoder_embeddings,1/1,1,1,1.0383900331919773,0.0005412361351773143,tasks/candidate/L2/encoder_embeddings.py
encoder_mlp,1/1,1,1,0.9351527541972312,0.011954572051763535,tasks/candidate/L2/encoder_mlp.py
flux_attention,4/4,4,4,0.9357986040226413,0.023671441711485386,tasks/candidate/L2/flux_attention.py
flux_feedforward,4/4,4,4,0.5731148507698633,0.0,tasks/candidate/L2/flux_feedforward.py
fused_experts,5/5,5,5,0.9522834662449977,0.05179658532142639,tasks/candidate/L2/fused_experts.py
gla_attention,10/10,10,10,0.8077781251438629,0.003955002035945654,tasks/candidate/L2/gla_attention.py
gla_mlp,9/9,9,9,0.4965614122515221,0.07554637061225043,tasks/candidate/L2/gla_mlp.py
gpt_oss_moe,5/5,5,5,1.0546366775448615,0.0,tasks/candidate/L2/gpt_oss_moe.py
llama_mlp,5/5,5,5,0.5560925322066024,0.0005336908681783826,tasks/candidate/L2/llama_mlp.py
oasis_final_layer,10/10,10,10,1.043279207447307,0.03842026963829994,tasks/candidate/L2/oasis_final_layer.py
oasis_mlp,10/10,10,10,0.6784456160433463,0.0,tasks/candidate/L2/oasis_mlp.py
oasis_patch_embed,7/7,7,7,1.1045807362043631,0.23705923131534032,tasks/candidate/L2/oasis_patch_embed.py
oasis_spatial_axial_attention,10/10,10,10,0.9089907485333548,0.0029592805076390505,tasks/candidate/L2/oasis_spatial_axial_attention.py
oasis_temporal_axial_attention,10/10,10,10,1.165675666643113,0.010810794960707425,tasks/candidate/L2/oasis_temporal_axial_attention.py
oasis_timestep_embedder,5/5,5,5,0.5287869433505745,0.0033775335177779198,tasks/candidate/L2/oasis_timestep_embedder.py
oasis_vae_attention,5/5,5,5,0.8527853611405473,0.002959262952208519,tasks/candidate/L2/oasis_vae_attention.py
parallel_embedding,10/10,10,10,0.5316481250752261,0.0,tasks/candidate/L2/parallel_embedding.py
parallel_linear,43/43,43,43,0.5866478122373497,0.023429169249179406,tasks/candidate/L2/parallel_linear.py
qwen3_moe,5/5,5,5,0.9538998564684611,1.4210854715202004e-11,tasks/candidate/L2/qwen3_moe.py
timestep_embedding,2/2,2,2,0.7596866523772381,0.06113889440894127,tasks/candidate/L2/timestep_embedding.py
vision_attention,5/5,5,5,1.5195739174834577,0.0,tasks/candidate/L2/vision_attention.py
vision_mlp,5/5,5,5,0.7303100476872255,0.2590831875801086,tasks/candidate/L2/vision_mlp.py
vision_patch_embed,5/5,5,5,0.610002946109225,0.0,tasks/candidate/L2/vision_patch_embed.py
vision_patch_merger,10/10,10,10,0.7530559410587664,0.01431782953441143,tasks/candidate/L2/vision_patch_merger.py
vision_pos_embed_interpolate,5/5,5,5,0.9049869551985484,0.0,tasks/candidate/L2/vision_pos_embed_interpolate.py
yolov10_attention,1/1,1,1,0.7507732658207221,0.0,tasks/candidate/L2/yolov10_attention.py
yolov10_bottleneck,8/8,8,8,0.7426344979765196,0.0,tasks/candidate/L2/yolov10_bottleneck.py
yolov10_c2f,1/1,1,1,0.7162803914976752,0.0,tasks/candidate/L2/yolov10_c2f.py
yolov10_cib,1/1,1,1,0.7524779518074886,0.0,tasks/candidate/L2/yolov10_cib.py
yolov10_concat,4/4,4,4,1.0963641253266863,0.0,tasks/candidate/L2/yolov10_concat.py
yolov10_conv,7/7,7,7,0.7758751058284786,5.960251071103682e-06,tasks/candidate/L2/yolov10_conv.py
yolov10_dfl,1/1,1,1,1.0014701342600456,0.0060499729588627815,tasks/candidate/L2/yolov10_dfl.py
yolov10_psa,1/1,1,1,0.8077053169947563,0.0030376671347767115,tasks/candidate/L2/yolov10_psa.py
yolov10_repvggdw,1/1,1,1,1.517622635584659,0.0,tasks/candidate/L2/yolov10_repvggdw.py
yolov10_scdown,2/2,2,2,0.8073722764481381,0.0,tasks/candidate/L2/yolov10_scdown.py
yolov10_sppf,1/1,1,1,0.8398075801033265,0.0,tasks/candidate/L2/yolov10_sppf.py
